ID,total+AF8-number+AF8-employees,Department of Transportation,Department of Labor,Department of Justice,Department of the Interior,Department of Commerce,National Aeronautics and Space Administration,Department of Agriculture
227,10,0,0,0,0,0,0,1
228,2,0,0,0,0,0,0,1
229,3,0,0,0,0,0,0,1
230,1,0,0,0,0,0,0,1
231,5,0,0,0,0,0,0,1
232,4,0,0,0,0,0,0,1
233,21,0,0,0,0,0,0,1
234,4,0,0,0,0,0,0,1
235,19,0,0,0,0,0,0,1
236,1,0,0,0,0,0,0,1
237,2,0,0,0,0,0,0,1
238,1,0,0,0,0,0,0,1
239,7,0,0,0,0,0,0,1
240,10,0,0,0,0,0,0,1
241,2,0,0,0,0,0,0,1
242,14,0,0,0,0,0,0,1
243,1,0,0,0,0,0,0,1
244,1,0,0,0,0,0,0,1
245,6,0,0,0,0,0,0,1
246,13,0,0,0,0,0,0,1
247,9,0,0,0,0,0,0,1
248,14,0,0,0,0,0,0,1
249,2,0,0,0,0,0,0,1
250,1,0,0,0,0,0,0,1
251,1,0,0,0,0,0,0,1
252,4,0,0,0,0,0,0,1
253,1,0,0,0,0,0,0,1
254,1,0,0,0,0,0,0,0
255,38,0,0,0,0,0,0,0
256,1,0,0,0,0,0,1,0
257,3,0,0,0,0,0,0,0
258,1,0,0,0,0,0,0,0
259,1,0,0,0,0,0,0,0
260,3,0,0,0,0,0,0,0
261,2,0,0,0,0,0,0,0
262,1,0,0,0,0,0,0,0
263,1,0,0,0,0,0,0,0
264,1,0,0,0,0,0,0,0
265,5,0,0,0,0,0,0,0
266,5,0,0,0,0,0,0,0
267,2,0,0,0,0,0,0,0
268,2,0,0,0,0,0,0,0
269,19,0,0,0,0,0,0,0
270,3,0,0,0,0,0,0,0
271,1,0,0,0,0,0,0,0
272,3,0,0,0,0,0,0,0
273,3,0,0,0,0,0,0,0
274,3,0,0,0,0,0,0,0
275,2,0,0,0,0,0,0,0
276,2,0,0,0,0,0,0,0
277,2,0,0,0,0,0,0,0
278,1,0,0,0,0,0,0,0
279,1,0,0,0,0,0,0,0
280,1,0,0,0,0,0,0,0
281,1,0,0,0,0,0,0,0
282,4,0,0,0,0,0,0,0
283,5,0,0,0,0,0,0,0
284,1,0,0,0,0,0,0,0
285,50,0,0,0,0,0,0,0
286,1,0,0,0,0,0,0,0
287,2,0,0,0,0,0,0,1
288,12,0,0,0,0,0,0,1
289,16,0,0,0,0,0,0,1
290,1,0,0,0,0,0,0,1
291,2,0,0,0,0,0,0,1
292,2,0,0,0,0,0,0,1
293,4,0,0,0,0,0,0,1
294,9,0,0,0,0,0,0,1
295,1,0,0,0,0,0,0,1
296,1,0,0,0,0,0,0,1
297,4,0,0,0,0,0,0,1
298,3,0,0,0,0,0,0,1
299,8,0,0,0,0,0,0,1
300,1,0,0,0,0,0,0,1
301,2,0,0,0,0,0,0,1
302,5,0,0,0,0,0,0,1
303,2,0,0,0,0,0,0,1
304,5,0,0,0,0,0,0,1
305,8,0,0,0,0,0,0,1
306,5,0,0,0,0,0,0,1
307,2,0,0,0,0,0,0,1
308,3,0,0,0,0,0,0,1
309,8,0,0,0,0,0,0,1
310,1,0,0,0,0,0,0,0
311,2,0,0,0,0,0,0,0
312,1,0,0,0,0,0,0,0
313,3,0,0,0,0,0,0,0
314,8,0,0,0,0,0,0,0
315,1,0,0,0,0,0,0,0
316,1,0,0,0,0,0,0,0
317,2,0,0,0,0,0,0,0
318,1,0,0,0,0,0,0,0
319,1,0,0,0,0,0,0,0
320,1,0,0,0,0,0,0,0
321,3,0,0,0,0,0,0,0
322,1,0,0,0,0,0,0,0
323,1,0,0,0,0,0,0,0
324,1,0,0,0,0,0,0,0
325,4,0,0,0,0,0,0,0
326,1,0,0,0,0,0,0,0
327,1,0,0,0,0,0,0,0
328,7,0,0,0,0,0,0,0
329,1,0,0,0,0,0,0,0
330,3,0,0,0,0,0,0,0
331,1,0,0,0,0,0,0,0
332,2,0,0,0,0,0,0,0
333,1,0,0,0,0,0,0,0
334,2,0,0,0,0,0,0,0
335,12,0,0,0,0,0,0,0
336,5,0,0,0,0,0,0,0
337,1,0,0,0,0,0,0,0
