ID,percentage of students funded on grant,Department of Transportation,Department of Labor,Department of Justice,Department of the Interior,Department of Commerce,National Aeronautics and Space Administration,Department of Agriculture
258,0,0,0,0,0,0,0,0
259,0,0,0,0,0,0,0,0
260,0,0,0,0,0,0,0,0
261,0,0,0,0,0,0,0,0
262,0,0,0,0,0,0,0,0
263,0,0,0,0,0,0,0,0
264,0,0,0,0,0,0,0,0
265,40,0,0,0,0,0,0,0
266,0,0,0,0,0,0,0,0
267,0,0,0,0,0,0,0,0
268,0,0,0,0,0,0,0,0
269,0,0,0,0,0,0,0,0
270,0,0,0,0,0,0,0,0
271,0,0,0,0,0,0,0,0
272,0,0,0,0,0,0,0,0
273,0,0,0,0,0,0,0,0
274,0,0,0,0,0,0,0,0
275,0,0,0,0,0,0,0,0
276,0,0,0,0,0,0,0,0
277,0,0,0,0,0,0,0,0
278,0,0,0,0,0,0,0,0
279,0,0,0,0,0,0,0,0
280,0,0,0,0,0,0,0,0
281,0,0,0,0,0,0,0,0
282,0,0,0,0,0,0,0,0
283,0,0,0,0,0,0,0,0
284,0,0,0,0,0,0,0,0
285,20,0,0,0,0,0,0,0
286,0,0,0,0,0,0,0,0
287,0,0,0,0,0,0,0,1
288,58.3333333333,0,0,0,0,0,0,1
289,37.5,0,0,0,0,0,0,1
290,0,0,0,0,0,0,0,1
291,0,0,0,0,0,0,0,1
292,0,0,0,0,0,0,0,1
293,50,0,0,0,0,0,0,1
294,44.4444444444,0,0,0,0,0,0,1
295,0,0,0,0,0,0,0,1
296,0,0,0,0,0,0,0,1
297,0,0,0,0,0,0,0,1
298,0,0,0,0,0,0,0,1
299,62.5,0,0,0,0,0,0,1
300,0,0,0,0,0,0,0,1
301,0,0,0,0,0,0,0,1
302,60,0,0,0,0,0,0,1
303,50,0,0,0,0,0,0,1
304,60,0,0,0,0,0,0,1
305,0,0,0,0,0,0,0,1
306,40,0,0,0,0,0,0,1
307,0,0,0,0,0,0,0,1
308,100,0,0,0,0,0,0,1
309,0,0,0,0,0,0,0,1
310,0,0,0,0,0,0,0,0
311,0,0,0,0,0,0,0,0
312,0,0,0,0,0,0,0,0
313,0,0,0,0,0,0,0,0
314,0,0,0,0,0,0,0,0
315,0,0,0,0,0,0,0,0
316,0,0,0,0,0,0,0,0
317,0,0,0,0,0,0,0,0
318,0,0,0,0,0,0,0,0
319,0,0,0,0,0,0,0,0
320,0,0,0,0,0,0,0,0
321,0,0,0,0,0,0,0,0
322,0,0,0,0,0,0,0,0
323,0,0,0,0,0,0,0,0
324,0,0,0,0,0,0,0,0
325,0,0,0,0,0,0,0,0
326,0,0,0,0,0,0,0,0
327,0,0,0,0,0,0,0,0
328,0,0,0,0,0,0,0,0
329,0,0,0,0,0,0,0,0
330,0,0,0,0,0,0,0,0
331,0,0,0,0,0,0,0,0
332,0,0,0,0,0,0,0,0
333,0,0,0,0,0,0,0,0
334,0,0,0,0,0,0,0,0
335,0,0,0,0,0,0,0,0
336,0,0,0,0,0,0,0,0
337,0,0,0,0,0,0,0,0
338,0,0,0,0,0,0,0,0
339,50,0,0,0,0,0,0,0
340,0,0,0,0,0,0,0,0
341,0,0,0,0,0,0,0,0
342,27.2727272727,0,0,0,0,0,0,0
343,50,0,0,0,0,0,0,1
344,25,0,0,0,0,0,0,1
345,0,0,0,0,0,0,0,1
346,0,0,0,0,0,0,0,1
347,0,0,0,0,0,0,0,1
348,0,0,0,0,0,0,0,1
349,11.1111111111,0,0,0,0,0,0,1
350,0,0,0,0,0,0,0,1
351,80,0,0,0,0,0,0,1
352,0,0,0,0,0,0,0,1
353,20,0,0,0,0,0,0,1
354,0,0,0,0,0,0,0,1
355,0,0,0,0,0,0,0,1
356,33.3333333333,0,0,0,0,0,0,1
357,0,0,0,0,0,0,0,1
358,0,0,0,0,0,0,0,1
359,0,0,0,0,0,0,0,1
360,0,0,0,0,0,0,0,1
361,0,0,0,0,0,0,0,1
362,0,0,0,0,0,0,0,1
363,0,0,0,0,0,0,0,1
364,0,0,0,0,0,0,0,1
365,0,0,0,0,0,0,0,1
366,0,0,0,0,0,0,0,1
367,0,0,0,0,0,0,0,1
368,0,0,0,0,0,0,0,1
369,0,0,0,0,0,0,0,1
370,40,0,0,0,0,0,0,1
371,0,0,0,0,0,0,0,1
372,0,0,0,0,0,0,0,1
373,0,0,0,0,0,0,0,1
374,0,0,0,0,0,0,0,1
375,33.3333333333,0,0,0,0,0,0,1
376,0,0,0,0,0,0,0,1
377,0,0,0,0,0,0,0,1
378,0,0,0,0,0,0,0,1
379,25,0,0,0,0,0,0,1
380,50,0,0,0,0,0,0,1
381,80,0,0,0,0,0,0,1
382,42.8571428571,0,0,0,0,0,0,1
383,0,0,0,0,0,0,0,1
384,0,0,0,0,0,0,0,1
385,20,0,0,0,0,0,0,0
386,100,0,0,0,0,0,0,0
387,66.6666666667,0,0,0,0,0,0,0
388,0,0,0,0,0,0,0,0
389,50,0,0,0,0,0,0,0
390,14.2857142857,0,0,0,0,0,0,0
391,0,0,0,0,0,0,0,0
392,0,0,0,0,0,0,0,0
393,0,0,0,0,0,0,0,0
394,63.6363636364,0,0,0,0,0,0,0
395,75,0,0,0,0,0,0,0
396,0,0,0,0,0,0,0,0
397,40,0,0,0,0,0,0,0
398,25,0,0,0,0,0,0,0
399,0,0,0,0,0,0,0,0
400,0,0,0,0,0,0,0,0
401,66.6666666667,0,0,0,0,0,0,0
402,75,0,0,0,0,0,0,0
403,0,0,0,0,0,0,0,0
404,0,0,0,0,0,0,0,0
405,0,0,0,0,0,0,0,0
406,0,0,0,0,0,0,0,0
407,0,0,0,0,0,0,0,0
408,0,0,0,0,0,0,0,0
409,66.6666666667,0,0,0,0,0,0,0
410,0,0,0,0,0,0,0,0
411,60,0,0,0,0,0,0,0
412,0,0,0,0,0,0,0,0
413,25,0,0,0,0,0,0,0
414,10,0,0,0,0,0,0,0
415,0,0,0,0,0,0,0,0
416,100,0,0,0,0,0,0,1
417,0,0,0,0,0,0,0,1
418,33.3333333333,0,0,0,0,0,0,1
419,100,0,0,0,0,0,0,1
420,0,0,0,0,0,0,0,1
421,0,0,0,0,0,0,0,1
422,0,0,0,0,0,0,0,1
423,0,0,0,0,0,0,0,1
424,33.3333333333,0,0,0,0,0,0,1
425,54.5454545455,0,0,0,0,0,0,1
426,37.5,0,0,0,0,0,0,1
427,0,0,0,0,0,0,0,1
428,16.6666666667,0,0,0,0,0,0,1
429,0,0,0,0,0,0,0,1
430,100,0,0,0,0,0,0,1
431,0,0,0,0,0,0,0,1
432,0,0,0,0,0,0,0,1
433,0,0,0,0,0,0,0,0
434,16.6666666667,0,0,0,0,0,0,1
435,11.1111111111,0,0,0,0,0,0,1
436,0,0,0,0,0,0,0,1
437,0,0,0,0,0,0,0,1
438,0,0,0,0,0,0,0,0
439,0,0,0,0,0,0,0,0
440,0,0,0,0,0,0,0,0
441,0,0,0,0,0,0,0,0
442,50,0,0,0,0,0,0,0
443,0,0,0,0,0,0,0,0
444,60.7142857143,0,0,0,0,0,0,1
445,14.2857142857,0,0,0,0,0,0,1
446,100,0,0,0,0,0,0,1
447,100,0,0,0,0,0,0,1
448,0,0,0,0,0,0,0,1
449,60,0,0,0,0,0,0,1
450,16.6666666667,0,0,0,0,0,0,1
451,77.7777777778,0,0,0,0,0,0,1
452,0,0,0,0,0,0,0,1
453,0,0,0,0,0,0,0,1
454,0,0,0,0,0,0,0,1
455,0,0,0,0,0,0,0,1
456,0,0,0,0,0,0,0,1
457,0,0,0,0,0,0,0,1
458,0,0,0,0,0,0,0,1
459,50,0,0,0,0,0,0,1
460,12.5,0,0,0,0,0,0,1
461,0,0,0,0,0,0,0,1
462,50,0,0,0,0,0,0,1
463,0,0,0,0,0,0,0,1
464,50,0,0,0,0,0,0,1
465,85.7142857143,0,0,0,0,0,0,0
466,0,0,0,0,0,0,0,0
467,0,0,0,0,0,0,0,0
468,0,0,0,0,0,0,0,0
469,0,0,0,0,0,0,0,0
470,0,0,0,0,0,0,0,0
471,0,0,0,0,0,0,0,0
472,20,0,0,0,0,0,0,0
473,33.3333333333,0,0,0,0,0,0,0
474,0,0,0,0,0,0,0,0
475,0,0,0,0,0,0,0,0
476,20,0,0,0,0,0,0,0
477,66.6666666667,0,0,0,0,0,0,0
478,0,0,0,0,0,0,0,0
479,50,0,0,0,0,0,0,0
480,0,0,0,0,0,0,0,0
481,0,0,0,0,0,0,0,0
482,0,0,0,0,0,0,0,0
483,0,0,0,0,0,0,0,0
484,20,0,0,0,0,0,0,0
485,33.3333333333,0,0,0,0,0,0,0
486,0,0,0,0,0,0,0,0
487,100,0,0,0,0,0,0,0
488,50,0,0,0,0,0,0,0
489,44.4444444444,0,0,0,0,0,0,0
490,40,0,0,0,0,0,0,0
491,18.1818181818,0,0,0,0,0,0,0
492,0,0,0,0,0,0,0,1
493,60,0,0,0,0,0,0,1
494,0,0,0,0,0,0,0,1
495,0,0,0,0,0,0,0,1
496,0,0,0,0,0,0,0,1
497,0,0,0,0,0,0,0,1
498,0,0,0,0,0,0,0,1
499,0,0,0,0,0,0,0,1
500,0,0,0,0,0,0,0,1
501,0,0,0,0,0,0,0,1
502,0,0,0,0,0,0,0,1
503,0,0,0,0,0,0,0,1
504,0,0,0,0,0,0,0,1
505,0,0,0,0,0,0,0,1
506,0,0,0,0,0,0,0,1
507,25,0,0,0,0,0,0,1
508,0,0,0,0,0,0,0,1
509,0,0,0,0,0,0,0,1
510,0,0,0,0,0,0,0,1
511,0,0,0,0,0,0,0,1
512,0,0,0,0,0,0,0,1
513,100,0,0,0,0,0,0,1
514,0,0,0,0,0,0,0,1
515,0,0,0,0,0,0,0,1
516,100,0,0,0,0,0,0,1
517,0,0,0,0,0,0,0,1
518,57.1428571429,0,0,0,0,0,0,1
519,80,0,0,0,0,0,0,1
520,50,0,0,0,0,0,0,1
521,60,0,0,0,0,0,0,1
522,20,0,0,0,0,0,0,1
523,0,0,0,0,0,0,0,1
524,0,0,0,0,0,0,0,1
525,0,0,0,0,0,0,0,1
526,40,0,0,0,0,0,0,1
527,64.2857142857,0,0,0,0,0,0,1
528,0,0,0,0,0,0,0,1
529,0,0,0,0,0,0,0,1
530,42.8571428571,0,0,0,0,0,0,1
531,100,0,0,0,0,0,0,1
532,80,0,0,0,0,0,0,1
533,40,0,0,0,0,0,0,1
534,50,0,0,0,0,0,0,1
535,100,0,0,0,0,0,0,1
536,33.3333333333,0,0,0,0,0,0,1
537,62.5,0,0,0,0,0,0,1
538,100,0,0,0,0,0,0,1
539,0,0,0,0,0,0,0,1
540,0,0,0,0,0,0,0,1
541,100,0,0,0,0,0,0,1
542,75,0,0,0,0,0,0,1
543,0,0,0,0,0,0,0,1
544,0,0,0,0,0,0,0,1
545,0,0,0,0,0,0,0,1
546,50,0,0,0,0,0,0,1
547,0,0,0,0,0,0,0,1
548,0,0,0,0,0,0,0,1
549,0,0,0,0,0,0,0,1
550,62.5,0,0,0,0,0,0,1
551,100,0,0,0,0,0,0,1
552,83.3333333333,0,0,0,0,0,0,1
553,100,0,0,0,0,0,0,1
554,50,0,0,0,0,0,0,1
555,66.6666666667,0,0,0,0,0,0,1
556,0,0,0,0,0,0,0,1
557,100,0,0,0,0,0,0,1
558,100,0,0,0,0,0,0,1
559,100,0,0,0,0,0,0,1
560,0,0,0,0,0,0,0,1
561,100,0,0,0,0,0,0,1
562,100,0,0,0,0,0,0,1
563,0,0,0,0,0,0,0,1
564,0,0,0,0,0,0,0,1
565,0,0,0,0,0,0,0,1
566,0,0,0,0,0,0,0,1
567,0,0,0,0,0,0,0,1
568,0,0,0,0,0,0,0,1
569,25,0,0,0,0,0,0,1
570,50,0,0,0,0,0,0,1
571,25,0,0,0,0,0,0,1
572,0,0,0,0,0,0,0,1
573,0,0,0,0,0,0,0,1
574,0,0,0,0,0,0,0,1
575,0,0,0,0,0,0,0,1
576,0,0,0,0,0,0,0,1
577,33.3333333333,0,0,0,0,0,0,1
578,0,0,0,0,0,0,0,1
579,0,0,0,0,0,0,0,1
580,0,0,0,0,0,0,0,1
581,0,0,0,0,0,0,0,1
582,0,0,0,0,0,0,0,1
583,0,0,0,0,0,0,0,1
584,0,0,0,0,0,0,0,1
585,50,0,0,0,0,0,0,1
586,20,0,0,0,0,0,0,1
587,0,0,0,0,0,0,0,1
588,25,0,0,0,0,0,0,1
589,66.6666666667,0,0,0,0,0,0,1
590,6.6666666667,0,0,0,0,0,0,1
591,0,0,0,0,0,0,0,1
592,50,0,0,0,0,0,0,1
593,0,0,0,0,0,0,0,1
594,100,0,0,0,0,0,0,1
595,42.8571428571,0,0,0,0,0,0,1
596,0,0,0,0,0,0,0,1
597,50,0,0,0,0,0,0,1
598,53.125,0,0,0,0,0,0,1
599,0,0,0,0,0,0,0,1
600,25,0,0,0,0,0,0,1
601,0,0,0,0,0,0,0,1
602,27.1186440678,0,0,0,0,0,0,1
603,0,0,0,0,0,0,0,1
604,0,0,0,0,0,0,0,1
605,50,0,0,0,0,0,0,1
606,72.2222222222,0,0,0,0,0,0,1
607,0,0,0,0,0,0,0,1
608,75,0,0,0,0,0,0,1
609,25,0,0,0,0,0,0,1
610,0,0,0,0,0,0,0,1
611,0,0,0,0,0,0,0,1
612,100,0,0,0,0,0,0,1
613,0,0,0,0,0,0,0,1
614,63.6363636364,0,0,0,0,0,0,1
615,33.3333333333,0,0,0,0,0,0,1
616,25,0,0,0,0,0,0,1
617,58.3333333333,0,0,0,0,0,0,1
618,0,0,0,0,0,0,0,1
619,80,0,0,0,0,0,0,1
620,0,0,0,0,0,0,0,1
621,0,0,0,0,0,0,0,1
622,0,0,0,0,0,0,0,1
623,0,0,0,0,0,0,0,1
624,50,0,0,0,0,0,0,1
625,50,0,0,0,0,0,0,1
626,33.3333333333,0,0,0,0,0,0,1
627,0,0,0,0,0,0,0,1
628,33.3333333333,0,0,0,0,0,0,1
629,28.5714285714,0,0,0,0,0,0,1
630,50,0,0,0,0,0,0,1
631,50,0,0,0,0,0,0,1
632,75,0,0,0,0,0,0,1
633,0,0,0,0,0,0,0,1
634,100,0,0,0,0,0,0,1
635,0,0,0,0,0,0,0,1
636,42.8571428571,0,0,0,0,0,0,1
637,14.2857142857,0,0,0,0,0,0,1
638,0,0,0,0,0,0,0,1
639,0,0,0,0,0,0,0,1
640,0,0,0,0,0,0,0,1
641,0,0,0,0,0,0,0,1
642,0,0,0,0,0,0,0,1
643,0,0,0,0,0,0,0,1
644,50,0,0,0,0,0,0,1
645,0,0,0,0,0,0,0,1
646,0,0,0,0,0,0,0,1
647,0,0,0,0,0,0,0,1
648,57.1428571429,0,0,0,0,0,0,1
649,25,0,0,0,0,0,0,1
650,0,0,0,0,0,0,0,1
651,0,0,0,0,0,0,0,1
652,0,0,0,0,0,0,0,1
653,0,0,0,0,0,0,0,1
654,0,0,0,0,0,0,0,1
655,20,0,0,0,0,0,0,1
656,0,0,0,0,0,0,0,1
657,0,0,0,0,0,0,0,1
658,0,0,0,0,0,0,0,1
659,0,0,0,0,0,0,0,1
660,0,0,0,0,0,0,0,1
661,0,0,0,0,0,0,0,1
662,0,0,0,0,0,0,0,1
663,75,0,0,0,0,0,0,1
664,25,0,0,0,0,0,0,1
665,0,0,0,0,0,0,0,1
666,0,0,0,0,0,0,0,1
667,0,0,0,0,0,0,0,1
668,0,0,0,0,0,0,0,1
669,0,0,0,0,0,0,0,1
670,0,0,0,0,0,0,0,1
671,0,0,0,0,0,0,0,1
672,0,0,0,0,0,0,0,1
673,0,0,0,0,0,0,0,1
674,0,0,0,0,0,0,0,1
675,0,0,0,0,0,0,0,1
676,100,0,0,0,0,0,0,1
677,14.2857142857,0,0,0,0,0,0,1
678,25,0,0,0,0,0,0,1
679,33.3333333333,0,0,0,0,0,0,1
680,0,0,0,0,0,0,0,1
681,0,0,0,0,0,0,0,1
682,63.6363636364,0,0,0,0,0,0,1
683,66.6666666667,0,0,0,0,0,0,1
684,0,0,0,0,0,0,0,1
685,0,0,0,0,0,0,0,1
686,0,0,0,0,0,0,0,1
687,0,0,0,0,0,0,0,1
688,50,0,0,0,0,0,0,1
689,0,0,0,0,0,0,0,1
690,0,0,0,0,0,0,0,1
691,0,0,0,0,0,0,0,1
692,50,0,0,0,0,0,0,1
693,0,0,0,0,0,0,0,1
694,50,0,0,0,0,0,0,1
695,0,0,0,0,0,0,0,1
696,0,0,0,0,0,0,0,1
697,27.2727272727,0,0,0,0,0,0,0
698,0,0,0,0,0,0,0,0
699,0,0,0,0,0,0,0,0
700,42.8571428571,0,0,0,0,0,0,0
701,0,0,0,0,0,0,0,0
702,66.6666666667,0,0,0,0,0,0,0
703,0,0,0,0,0,0,0,0
704,100,0,0,0,0,0,0,0
705,0,0,0,0,0,0,0,0
706,0,0,0,0,0,0,0,0
707,0,0,0,0,0,0,0,0
708,0,0,0,0,0,0,0,0
709,62.5,0,0,0,0,0,0,0
710,33.3333333333,0,0,0,0,0,0,0
711,20,0,0,0,0,0,0,0
712,80,0,0,0,0,0,0,0
713,0,0,0,0,0,0,0,0
714,0,0,0,0,0,0,0,0
715,0,0,0,0,0,0,0,0
716,0,0,0,0,0,0,0,0
717,16.6666666667,0,0,0,0,0,0,0
718,0,0,0,0,0,0,0,0
719,0,0,0,0,0,0,0,0
720,0,0,0,0,0,0,0,0
721,0,0,0,0,0,0,0,1
722,0,0,0,0,0,0,0,0
723,0,0,0,0,0,0,0,0
724,50,0,0,0,0,0,0,0
725,0,0,0,0,0,0,0,0
726,60,0,0,0,0,0,0,0
727,18.75,0,0,0,0,0,0,0
728,0,0,0,0,0,0,0,0
729,0,0,0,0,0,0,0,0
730,0,0,0,0,0,0,0,0
731,0,0,0,0,0,0,0,0
732,0,0,0,0,0,0,0,0
733,11.1111111111,0,0,0,0,0,0,0
734,0,0,0,0,0,0,0,0
735,51.1627906977,0,0,0,0,0,0,0
