ID,percentage of students funded on grant,Department of Transportation,Department of Labor,Department of Justice,Department of the Interior,Department of Commerce,National Aeronautics and Space Administration,Department of Agriculture
5407,0,0,0,0,0,0,0,0
5408,0,0,0,0,0,0,0,0
5409,100,0,0,0,0,0,0,0
5410,50,0,0,0,0,0,0,0
5411,0,0,0,0,0,0,0,0
5412,0,0,0,0,0,0,0,0
5413,0,0,0,0,0,0,0,0
5414,0,0,0,0,0,0,0,0
5415,0,0,0,0,0,0,0,0
5416,25,0,0,0,0,0,0,0
5417,0,0,0,0,0,0,0,0
5418,100,0,0,0,0,0,0,0
5419,0,0,0,0,0,0,0,0
5420,0,0,0,0,0,0,0,0
5421,22.2222222222,0,0,0,0,0,0,0
5422,0,0,0,0,0,0,0,0
5423,33.3333333333,0,0,0,0,0,0,0
5424,0,0,0,0,0,0,0,1
5425,0,0,0,0,0,0,0,1
5426,0,0,0,0,0,0,0,1
5427,0,0,0,0,0,0,0,1
5428,0,0,0,0,0,0,0,1
5429,0,0,0,0,0,0,0,1
5430,0,0,0,0,0,0,0,1
5431,0,0,0,0,0,0,0,1
5432,50,0,0,0,0,0,0,1
5433,14.2857142857,0,0,0,0,0,0,1
5434,71.4285714286,0,0,0,0,0,0,1
5435,0,0,0,0,0,0,0,1
5436,0,0,0,0,0,0,0,1
5437,0,0,0,0,0,0,0,1
5438,0,0,0,0,0,0,0,1
5439,0,0,0,0,0,0,0,1
5440,14.3835616438,0,0,0,0,0,0,1
5441,0,0,0,0,0,0,0,1
5442,0,0,0,0,0,0,0,1
5443,0,0,0,0,0,0,0,1
5444,0,0,0,0,0,0,0,1
5445,50,0,0,0,0,0,0,0
5446,0,0,0,0,0,0,0,0
5447,100,0,0,0,0,0,0,0
5448,50,0,0,0,0,0,0,0
5449,0,0,0,0,0,0,0,0
5450,0,0,0,0,0,0,0,1
5451,0,0,0,0,0,0,0,1
5452,0,0,0,0,0,0,0,1
5453,0,0,0,0,0,0,0,1
5454,0,0,0,0,0,0,0,1
5455,81.25,0,0,0,0,0,0,1
5456,40,0,0,0,0,0,0,1
5457,0,0,0,0,0,0,0,1
5458,66.6666666667,0,0,0,0,0,0,1
5459,15.3225806452,0,0,0,0,0,0,1
5460,0,0,0,0,0,0,0,1
5461,33.3333333333,0,0,0,0,0,0,1
5462,0,0,0,0,0,0,0,1
5463,0,0,0,0,0,0,0,1
5464,37.5,0,0,0,0,0,0,1
5465,0,0,0,0,0,0,0,1
5466,37.5,0,0,0,0,0,0,1
5467,0,0,0,0,0,0,0,1
5468,0,0,0,0,0,0,0,1
5469,0,0,0,0,0,0,0,1
5470,50,0,0,0,0,0,0,1
5471,0,0,0,0,0,0,0,1
5472,100,0,0,0,0,0,0,1
5473,75,0,0,0,0,0,0,1
5474,0,0,0,0,0,0,0,1
5475,38.8888888889,0,0,0,0,0,0,1
5476,0,0,0,0,0,0,0,1
5477,61.5384615385,0,0,0,0,0,0,1
5478,0,0,0,0,0,0,0,1
5479,37.9310344828,0,0,0,0,0,0,1
5480,0,0,0,0,0,0,0,1
5481,70.5882352941,0,0,0,0,0,0,1
5482,61.1111111111,0,0,0,0,0,0,1
5483,29.6296296296,0,0,0,0,0,0,1
5484,0,0,0,0,0,0,0,1
5485,33.3333333333,0,0,0,0,0,0,1
5486,25,0,0,0,0,0,0,1
5487,11.1111111111,0,0,0,0,0,0,1
5488,16.6666666667,0,0,0,0,0,0,1
5489,18.1818181818,0,0,0,0,0,0,1
5490,14.2857142857,0,0,0,0,0,0,1
5491,40,0,0,0,0,0,0,1
5492,0,0,0,0,0,0,0,1
5493,50,0,0,0,0,0,0,1
5494,83.3333333333,0,0,0,0,0,0,1
5495,37.5,0,0,0,0,0,0,1
5496,0,0,0,0,0,0,0,1
5497,0,0,0,0,0,0,0,1
5498,20,0,0,0,0,0,0,1
5499,50,0,0,0,0,0,0,1
5500,80,0,0,0,0,0,0,1
5501,20,0,0,0,0,0,0,1
5502,55.5555555556,0,0,0,0,0,0,1
5503,70.8333333333,0,0,0,0,0,0,1
5504,50,0,0,0,0,0,0,1
5505,40,0,0,0,0,0,0,1
5506,0,0,0,0,0,0,0,1
5507,0,0,0,0,0,0,0,1
5508,66.6666666667,0,0,0,0,0,0,1
5509,0,0,0,0,0,0,0,1
5510,100,0,0,0,0,0,0,1
5511,0,0,0,0,0,0,0,1
5512,44.4444444444,0,0,0,0,0,0,1
5513,0,0,0,0,0,0,0,1
5514,0,0,0,0,0,0,0,1
5515,46.1538461538,0,0,0,0,0,0,1
5516,0,0,0,0,0,0,0,1
5517,0,0,0,0,0,0,0,1
5518,0,0,0,0,0,0,0,1
5519,0,0,0,0,0,0,0,1
5520,41.6666666667,0,0,0,0,0,0,1
5521,75,0,0,0,0,0,0,1
5522,75,0,0,0,0,0,0,1
5523,20,0,0,0,0,0,0,1
5524,60,0,0,0,0,0,0,1
5525,0,0,0,0,0,0,0,1
5526,66.6666666667,0,0,0,0,0,0,1
5527,18.1818181818,0,0,0,0,0,0,1
5528,0,0,0,0,0,0,0,1
5529,0,0,0,0,0,0,0,1
5530,40,0,0,0,0,0,0,1
5531,70,0,0,0,0,0,0,1
5532,0,0,0,0,0,0,0,1
5533,50,0,0,0,0,0,0,1
5534,0,0,0,0,0,0,0,1
5535,25,0,0,0,0,0,0,1
5536,0,0,0,0,0,0,0,1
5537,66.6666666667,0,0,0,0,0,0,1
5538,25,0,0,0,0,0,0,1
5539,28.5714285714,0,0,0,0,0,0,1
5540,0,0,0,0,0,0,0,1
5541,0,0,0,0,0,0,0,1
5542,50,0,0,0,0,0,0,1
5543,33.3333333333,0,0,0,0,0,0,1
5544,66.6666666667,0,0,0,0,0,0,1
5545,0,0,0,0,0,0,0,1
5546,0,0,0,0,0,0,0,1
5547,0,0,0,0,0,0,0,1
5548,0,0,0,0,0,0,0,1
5549,25,0,0,0,0,0,0,1
5550,33.3333333333,0,0,0,0,0,0,1
5551,57.1428571429,0,0,0,0,0,0,1
5552,75,0,0,0,0,0,0,1
5553,0,0,0,0,0,0,0,1
5554,75,0,0,0,0,0,0,1
5555,0,0,0,0,0,0,0,1
5556,100,0,0,0,0,0,0,1
5557,63.6363636364,0,0,0,0,0,0,1
5558,0,0,0,0,0,0,0,1
5559,75,0,0,0,0,0,0,1
5560,0,0,0,0,0,0,0,1
5561,33.3333333333,0,0,0,0,0,0,1
5562,0,0,0,0,0,0,0,1
5563,0,0,0,0,0,0,0,1
5564,0,0,0,0,0,0,0,1
5565,0,0,0,0,0,0,0,1
5566,0,0,0,0,0,0,0,1
5567,20,0,0,0,0,0,0,1
5568,50,0,0,0,0,0,0,1
5569,0,0,0,0,0,0,0,1
5570,0,0,0,0,0,0,0,1
5571,60,0,0,0,0,0,0,1
5572,0,0,0,0,0,0,0,1
5573,83.3333333333,0,0,0,0,0,0,1
5574,20,0,0,0,0,0,0,1
5575,0,0,0,0,0,0,0,1
5576,33.3333333333,0,0,0,0,0,0,1
5577,33.3333333333,0,0,0,0,0,0,1
5578,0,0,0,0,0,0,0,1
5579,0,0,0,0,0,0,0,1
5580,33.3333333333,0,0,0,0,0,0,1
5581,0,0,0,0,0,0,0,1
5582,0,0,0,0,0,0,0,1
5583,0,0,0,0,0,0,0,1
5584,83.3333333333,0,0,0,0,0,0,1
5585,0,0,0,0,0,0,0,1
5586,0,0,0,0,0,0,0,1
5587,40,0,0,0,0,0,0,1
5588,0,0,0,0,0,0,0,1
5589,0,0,0,0,0,0,0,1
5590,25,0,0,0,0,0,0,1
5591,0,0,0,0,0,0,0,1
5592,50,0,0,0,0,0,0,1
5593,50,0,0,0,0,0,0,1
5594,0,0,0,0,0,0,0,1
5595,0,0,0,0,0,0,0,1
5596,0,0,0,0,0,0,0,1
5597,0,0,0,0,0,0,0,1
5598,50,0,0,0,0,0,0,1
5599,0,0,0,0,0,0,0,1
5600,0,0,0,0,0,0,0,1
5601,83.3333333333,0,0,0,0,0,0,1
5602,0,0,0,0,0,0,0,1
5603,16.6666666667,0,0,0,0,0,0,1
5604,0,0,0,0,0,0,0,1
5605,33.3333333333,0,0,0,0,0,0,1
5606,77.7777777778,0,0,0,0,0,0,1
5607,27.2727272727,0,0,0,0,0,0,1
5608,66.6666666667,0,0,0,0,0,0,1
5609,100,0,0,0,0,0,0,1
5610,20,0,0,0,0,0,0,1
5611,0,0,0,0,0,0,0,1
5612,66.6666666667,0,0,0,0,0,0,1
5613,50,0,0,0,0,0,0,1
5614,14.2857142857,0,0,0,0,0,0,1
5615,62.5,0,0,0,0,0,0,1
5616,0,0,0,0,0,0,0,1
5617,0,0,0,0,0,0,0,1
5618,0,0,0,0,0,0,0,1
5619,0,0,0,0,0,0,0,1
5620,25,0,0,0,0,0,0,1
5621,0,0,0,0,0,0,0,1
5622,0,0,0,0,0,0,0,1
5623,0,0,0,0,0,0,0,1
5624,0,0,0,0,0,0,0,1
5625,0,0,0,0,0,0,0,1
5626,0,0,0,0,0,0,0,1
5627,56.25,0,0,0,0,0,0,1
5628,0,0,0,0,0,0,0,1
5629,0,0,0,0,0,0,0,1
5630,0,0,0,0,0,0,0,1
5631,0,0,0,0,0,0,0,1
5632,0,0,0,0,0,0,0,0
5633,0,0,0,0,0,0,0,0
5634,62.5,0,0,0,0,0,0,1
5635,10,0,0,0,0,0,0,1
5636,0,0,0,0,0,0,0,1
5637,0,0,0,0,0,0,0,1
5638,100,0,0,0,0,0,0,0
5639,75,0,0,0,0,0,0,0
5640,26.6666666667,0,0,0,0,0,0,0
5641,31.25,0,0,0,0,0,0,0
5642,71.4285714286,0,0,0,0,0,0,0
5643,12.5,0,0,0,0,0,0,0
5644,0,0,0,0,0,0,0,0
5645,0,0,0,0,0,0,0,0
5646,40,0,0,0,0,0,0,0
5647,0,0,0,0,0,0,0,0
5648,71.4285714286,0,0,0,0,0,0,0
5649,40,0,0,0,0,0,0,0
5650,0,0,0,0,0,0,0,0
5651,0,0,0,0,0,0,0,0
5652,0,0,0,0,0,0,0,0
5653,0,0,0,0,0,0,0,0
5654,33.3333333333,0,0,0,0,0,0,0
5655,0,0,0,0,0,0,0,0
5656,0,0,0,0,0,0,0,0
5657,0,0,0,0,0,0,0,0
5658,0,0,0,0,0,0,0,0
5659,0,0,0,0,0,0,0,1
5660,0,0,0,0,0,0,0,1
5661,0,0,0,0,0,0,0,1
5662,0,0,0,0,0,0,0,1
5663,0,0,0,0,0,0,0,1
5664,0,0,0,0,0,0,0,1
5665,22.2222222222,0,0,0,0,0,0,1
5666,0,0,0,0,0,0,0,1
5667,0,0,0,0,0,0,0,1
5668,75,0,0,0,0,0,0,1
5669,0,0,0,0,0,0,0,1
5670,0,0,0,0,0,0,0,1
5671,62.5,0,0,0,0,0,0,1
5672,0,0,0,0,0,0,0,1
5673,0,0,0,0,0,0,0,1
5674,0,0,0,0,0,0,0,1
5675,43.75,0,0,0,0,0,0,1
5676,66.6666666667,0,0,0,0,0,0,1
5677,0,0,0,0,0,0,0,1
5678,0,0,0,0,0,0,0,1
5679,20,0,0,0,0,0,0,1
5680,0,0,0,0,0,0,0,1
5681,0,0,0,0,0,0,0,1
5682,0,0,0,0,0,0,0,1
5683,14.2857142857,0,0,0,0,0,0,1
5684,0,0,0,0,0,0,0,1
5685,60,0,0,0,0,0,0,1
5686,0,0,0,0,0,0,0,0
5687,0,0,0,0,0,0,0,0
5688,100,0,0,0,0,0,0,0
5689,0,0,0,0,0,0,0,1
5690,0,0,0,0,0,0,0,1
5691,0,0,0,0,0,0,0,1
5692,0,0,0,0,0,0,0,1
5693,33.3333333333,0,0,0,0,0,0,1
5694,50,0,0,0,0,0,0,1
5695,0,0,0,0,0,0,0,1
5696,0,0,0,0,0,0,0,1
5697,0,0,0,0,0,0,0,1
5698,50,0,0,0,0,0,0,1
5699,30.7692307692,0,0,0,0,0,0,1
5700,0,0,0,0,0,0,0,1
5701,16.6666666667,0,0,0,0,0,0,0
5702,14.2857142857,0,0,0,0,0,0,0
5703,16.6666666667,0,0,0,0,0,0,0
5704,0,0,0,0,0,0,0,0
5705,0,0,0,0,0,0,0,0
5706,33.3333333333,0,0,0,0,0,0,0
5707,100,0,0,0,0,0,0,0
5708,47.619047619,0,0,0,0,0,0,0
5709,0,0,0,0,0,0,0,0
5710,31.25,0,0,0,0,0,0,0
5711,0,0,0,0,0,0,0,0
5712,0,0,0,0,0,0,0,0
5713,14.2857142857,0,0,0,0,0,0,0
5714,0,0,0,0,0,0,0,0
5715,0,0,0,0,0,0,0,0
5716,0,0,0,0,0,0,0,0
5717,0,0,0,0,0,0,0,0
5718,0,0,0,0,0,0,0,0
5719,0,0,0,0,0,0,0,0
5720,0,0,0,0,0,0,0,0
5721,16.6666666667,0,0,0,0,0,0,0
5722,28.5714285714,0,0,0,0,0,0,0
5723,50,0,0,0,0,0,0,0
5724,50,0,0,0,0,0,0,0
5725,0,0,0,0,0,0,0,0
5726,0,0,0,0,0,0,0,0
5727,28.5714285714,0,0,0,0,0,0,0
5728,0,0,0,0,0,0,0,0
5729,3.8461538462,0,0,0,0,0,0,0
5730,50,0,0,0,0,0,0,0
5731,0,0,0,0,0,0,0,0
5732,15.3846153846,0,0,0,0,0,0,0
5733,0,0,0,0,0,0,0,0
5734,0,0,0,0,0,0,0,0
5735,0,0,0,0,0,0,0,0
5736,40,0,0,0,0,0,0,0
5737,42.8571428571,0,0,0,0,0,0,0
5738,0,0,0,0,0,0,0,0
5739,0,0,0,0,0,0,0,0
5740,25,0,0,0,0,0,0,0
5741,8.3333333333,0,0,0,0,0,0,0
5742,0,0,0,0,0,0,0,0
5743,0,0,0,0,0,0,0,0
5744,0,0,0,0,0,0,0,0
5745,50,0,0,0,0,0,0,0
5746,0,0,0,0,0,0,0,0
5747,47.0588235294,0,0,0,0,0,0,0
5748,40,0,0,0,0,0,0,0
5749,0,0,0,0,0,0,0,0
5750,100,0,0,0,0,0,0,0
5751,100,0,0,0,0,0,0,0
5752,50,0,0,0,0,0,0,0
5753,0,0,0,0,0,0,0,0
5754,0,0,0,0,0,0,0,0
5755,0,0,0,0,0,0,0,0
5756,60,0,0,0,0,0,0,0
5757,0,0,0,0,0,0,0,0
5758,0,0,0,0,0,0,0,0
5759,37.5,0,0,0,0,0,0,0
5760,0,0,0,0,0,0,0,0
5761,0,0,0,0,0,0,0,0
5762,0,0,0,0,0,0,0,0
5763,0,0,0,0,0,0,0,0
5764,0,0,0,0,0,0,0,0
5765,100,0,0,0,0,0,0,1
5766,0,0,0,0,0,0,0,1
5767,0,0,0,0,0,0,0,1
5768,0,0,0,0,0,0,0,1
5769,0,0,0,0,0,0,0,1
5770,60,0,0,0,0,0,0,1
5771,100,0,0,0,0,0,0,1
5772,0,0,0,0,0,0,0,1
5773,0,0,0,0,0,0,0,1
5774,40,0,0,0,0,0,0,1
5775,0,0,0,0,0,0,0,1
5776,33.3333333333,0,0,0,0,0,0,1
5777,20,0,0,0,0,0,0,1
5778,16.6666666667,0,0,0,0,0,0,1
5779,0,0,0,0,0,0,0,1
5780,0,0,0,0,0,0,0,1
5781,0,0,0,0,0,0,0,1
5782,0,0,0,0,0,0,0,1
5783,14.2857142857,0,0,0,0,0,0,0
5784,0,0,0,0,0,0,0,1
5785,0,0,0,0,0,0,0,1
5786,0,0,0,0,0,0,0,0
5787,0,0,0,0,0,0,0,0
5788,3.7037037037,0,0,0,0,0,0,1
5789,0,0,0,0,0,0,0,1
5790,0,0,0,0,0,0,0,1
5791,0,0,0,0,0,0,0,1
5792,0,0,0,0,0,0,0,1
5793,71.4285714286,0,0,0,0,0,0,1
5794,25,0,0,0,0,0,0,1
5795,60,0,0,0,0,0,0,1
5796,60,0,0,0,0,0,0,1
5797,33.3333333333,0,0,0,0,0,0,1
5798,66.6666666667,0,0,0,0,0,0,1
5799,66.6666666667,0,0,0,0,0,0,1
5800,12.1621621622,0,0,0,0,0,0,1
5801,10.1265822785,0,0,0,0,0,0,1
5802,15.1234567901,0,0,0,0,0,0,1
5803,18.5185185185,0,0,0,0,0,0,1
5804,0,0,0,0,0,0,0,1
5805,33.3333333333,0,0,0,0,0,0,1
5806,0,0,0,0,0,0,0,1
5807,0,0,0,0,0,0,0,1
5808,33.3333333333,0,0,0,0,0,0,0
5809,60,0,0,0,0,0,0,0
5810,0,0,0,0,0,0,0,0
5811,14.2857142857,0,0,0,0,0,0,0
5812,0,0,0,0,0,0,0,0
5813,0,0,0,0,0,0,0,0
5814,0,0,0,0,0,0,0,0
5815,0,0,0,0,0,0,0,0
5816,0,0,0,0,0,0,0,0
5817,0,0,0,0,0,0,0,0
5818,40,0,0,0,0,0,0,0
5819,33.3333333333,0,0,0,0,0,0,1
5820,100,0,0,0,0,0,0,1
5821,0,0,0,0,0,0,0,0
5822,0,0,0,0,0,0,0,0
5823,0,0,0,0,0,0,0,0
5824,0,0,0,0,0,0,0,0
5825,66.6666666667,0,0,0,0,0,0,1
5826,0,0,0,0,0,0,0,1
5827,20,0,0,0,0,0,0,1
5828,0,0,0,0,0,0,0,1
5829,0,0,0,0,0,0,0,1
5830,9.0909090909,0,0,0,0,0,0,1
5831,0,0,0,0,0,0,0,1
5832,0,0,0,0,0,0,0,1
5833,0,0,0,0,0,0,0,1
5834,80,0,0,0,0,0,0,1
5835,66.6666666667,0,0,0,0,0,0,1
5836,0,0,0,0,0,0,0,1
5837,66.6666666667,0,0,0,0,0,0,1
5838,75,0,0,0,0,0,0,1
5839,42.8571428571,0,0,0,0,0,0,1
5840,0,0,0,0,0,0,0,1
5841,0,0,0,0,0,0,0,1
5842,0,0,0,0,0,0,0,1
5843,50,0,0,0,0,0,0,1
5844,0,0,0,0,0,0,0,1
5845,0,0,0,0,0,0,0,1
5846,37.5,0,0,0,0,0,0,1
5847,25,0,0,0,0,0,0,1
5848,0,0,0,0,0,0,0,1
5849,0,0,0,0,0,0,0,1
5850,66.6666666667,0,0,0,0,0,0,1
5851,0,0,0,0,0,0,0,1
5852,0,0,0,0,0,0,0,1
5853,71.4285714286,0,0,0,0,0,0,1
5854,55.5555555556,0,0,0,0,0,0,1
5855,0,0,0,0,0,0,0,1
5856,0,0,0,0,0,0,0,1
5857,40,0,0,0,0,0,0,1
5858,0,0,0,0,0,0,0,1
5859,25,0,0,0,0,0,0,1
5860,14.2857142857,0,0,0,0,0,0,1
5861,40,0,0,0,0,0,0,1
5862,50,0,0,0,0,0,0,1
5863,0,0,0,0,0,0,0,1
5864,33.3333333333,0,0,0,0,0,0,1
5865,55.5555555556,0,0,0,0,0,0,1
5866,0,0,0,0,0,0,0,1
5867,0,0,0,0,0,0,0,1
5868,25,0,0,0,0,0,0,1
5869,28.5714285714,0,0,0,0,0,0,1
5870,0,0,0,0,0,0,0,1
5871,0,0,0,0,0,0,0,1
5872,0,0,0,0,0,0,0,1
5873,100,0,0,0,0,0,0,1
5874,63.829787234,0,0,0,0,0,0,1
5875,29.4117647059,0,0,0,0,0,0,1
5876,0,0,0,0,0,0,0,1
5877,75,0,0,0,0,0,0,1
5878,0,0,0,0,0,0,0,1
5879,0,0,0,0,0,0,0,1
5880,0,0,0,0,0,0,0,1
5881,60,0,0,0,0,0,0,1
5882,0,0,0,0,0,0,0,1
5883,0,0,0,0,0,0,0,1
5884,25,0,0,0,0,0,0,1
5885,0,0,0,0,0,0,0,1
5886,50,0,0,0,0,0,0,1
5887,0,0,0,0,0,0,0,1
5888,29.1666666667,0,0,0,0,0,0,1
5889,79.1666666667,0,0,0,0,0,0,1
5890,37.5,0,0,0,0,0,0,1
5891,0,0,0,0,0,0,0,1
5892,50,0,0,0,0,0,0,1
5893,0,0,0,0,0,0,0,1
5894,20,0,0,0,0,0,0,1
5895,80,0,0,0,0,0,0,1
5896,0,0,0,0,0,0,0,1
5897,77.7777777778,0,0,0,0,0,0,1
5898,66.6666666667,0,0,0,0,0,0,1
5899,0,0,0,0,0,0,0,1
5900,36.3636363636,0,0,0,0,0,0,1
5901,0,0,0,0,0,0,0,1
5902,0,0,0,0,0,0,0,1
5903,50,0,0,0,0,0,0,1
5904,0,0,0,0,0,0,0,1
5905,60,0,0,0,0,0,0,1
5906,0,0,0,0,0,0,0,1
5907,0,0,0,0,0,0,0,1
5908,33.3333333333,0,0,0,0,0,0,1
5909,0,0,0,0,0,0,0,1
5910,50,0,0,0,0,0,0,1
5911,0,0,0,0,0,0,0,1
5912,66.6666666667,0,0,0,0,0,0,1
5913,33.3333333333,0,0,0,0,0,0,1
5914,0,0,0,0,0,0,0,1
5915,50,0,0,0,0,0,0,1
5916,38.8888888889,0,0,0,0,0,0,1
5917,0,0,0,0,0,0,0,1
5918,0,0,0,0,0,0,0,1
5919,0,0,0,0,0,0,0,1
5920,0,0,0,0,0,0,0,1
5921,0,0,0,0,0,0,0,1
5922,0,0,0,0,0,0,0,1
5923,0,0,0,0,0,0,0,1
5924,50,0,0,0,0,0,0,1
5925,6.6666666667,0,0,0,0,0,0,1
5926,0,0,0,0,0,0,0,1
5927,0,0,0,0,0,0,0,1
5928,0,0,0,0,0,0,0,1
5929,68.4210526316,0,0,0,0,0,0,1
5930,0,0,0,0,0,0,0,1
5931,0,0,0,0,0,0,0,1
5932,0,0,0,0,0,0,0,1
5933,52,0,0,0,0,0,0,1
5934,0,0,0,0,0,0,0,1
5935,0,0,0,0,0,0,0,1
5936,14.7058823529,0,0,0,0,0,0,1
5937,0,0,0,0,0,0,0,1
5938,0,0,0,0,0,0,0,1
5939,0,0,0,0,0,0,0,1
5940,66.6666666667,0,0,0,0,0,0,1
5941,0,0,0,0,0,0,0,1
5942,20,0,0,0,0,0,0,1
5943,26.3157894737,0,0,0,0,0,0,1
5944,0,0,0,0,0,0,0,1
5945,0,0,0,0,0,0,0,1
5946,0,0,0,0,0,0,0,0
5947,0,0,0,0,0,0,0,0
5948,0,0,0,0,0,0,0,0
5949,50,0,0,0,0,0,0,0
5950,0,0,0,0,0,0,0,0
5951,0,0,0,0,0,0,0,0
5952,14.2857142857,0,0,0,0,0,0,0
5953,0,0,0,0,0,0,0,0
5954,87.5,0,0,0,0,0,0,0
5955,0,0,0,0,0,0,0,0
5956,0,0,0,0,0,0,0,0
5957,50,0,0,0,0,0,0,0
5958,14.2857142857,0,0,0,0,0,0,1
5959,0,0,0,0,0,0,0,1
5960,0,0,0,0,0,0,0,1
5961,0,0,0,0,0,0,0,1
5962,0,0,0,0,0,0,0,1
5963,64.5161290323,0,0,0,0,0,0,1
5964,16.6666666667,0,0,0,0,0,0,1
5965,55.5555555556,0,0,0,0,0,0,1
5966,0,0,0,0,0,0,0,1
5967,0,0,0,0,0,0,0,1
5968,60,0,0,0,0,0,0,1
5969,0,0,0,0,0,0,0,1
5970,0,0,0,0,0,0,0,1
5971,0,0,0,0,0,0,0,1
5972,46.6666666667,0,0,0,0,0,0,1
5973,0,0,0,0,0,0,0,1
5974,20,0,0,0,0,0,0,1
5975,0,0,0,0,0,0,0,1
5976,0,0,0,0,0,0,0,1
5977,0,0,0,0,0,0,0,1
5978,38.0952380952,0,0,0,0,0,0,1
5979,0,0,0,0,0,0,0,1
5980,66.6666666667,0,0,0,0,0,0,1
5981,0,0,0,0,0,0,0,1
5982,33.3333333333,0,0,0,0,0,0,1
5983,0,0,0,0,0,0,0,1
5984,80,0,0,0,0,0,0,1
5985,12.5,0,0,0,0,0,0,1
5986,0,0,0,0,0,0,0,1
5987,0,0,0,0,0,0,0,1
5988,0,0,0,0,0,0,0,0
5989,0,0,0,0,0,0,0,0
5990,25,0,0,0,0,0,0,0
5991,0,0,0,0,0,0,0,0
5992,0,0,0,0,0,0,0,0
5993,0,0,0,0,0,0,0,1
5994,0,0,0,0,0,0,0,1
5995,0,0,0,0,0,0,0,1
5996,33.3333333333,0,0,0,0,0,0,1
5997,66.6666666667,0,0,0,0,0,0,1
5998,60,0,0,0,0,0,0,1
5999,0,0,0,0,0,0,0,1
6000,33.3333333333,0,0,0,0,0,0,0
6001,0,0,0,0,0,0,0,0
6002,0,0,0,0,0,0,0,0
6003,25,0,0,0,0,0,0,0
6004,0,0,0,0,0,0,0,0
6005,0,0,0,0,0,0,0,0
6006,50,0,0,0,0,0,0,0
6007,0,0,0,0,0,0,0,0
6008,66.6666666667,0,0,0,0,0,0,0
6009,50,0,0,0,0,0,0,0
6010,0,0,0,0,0,0,0,0
6011,0,0,0,0,0,0,0,0
6012,0,0,0,0,0,0,0,0
6013,0,0,0,0,0,0,0,0
6014,52.9411764706,0,0,0,0,0,0,0
6015,0,0,0,0,0,0,0,0
6016,0,0,0,0,0,0,0,0
6017,0,0,0,0,0,0,0,0
6018,18.1818181818,0,0,0,0,0,0,0
6019,0,0,0,0,0,0,0,0
6020,0,0,0,0,0,0,0,0
6021,0,0,0,0,0,0,0,0
6022,60,0,0,0,0,0,0,0
6023,0,0,0,0,0,0,0,0
6024,10,0,0,0,0,0,0,0
6025,14.2857142857,0,0,0,0,0,0,0
6026,36,0,0,0,0,0,0,0
6027,43.75,0,0,0,0,0,0,0
6028,0,0,0,0,0,0,0,0
6029,55.5555555556,0,0,0,0,0,0,0
6030,62.5,0,0,0,0,0,0,0
6031,0,0,0,0,0,0,0,1
6032,0,0,0,0,0,0,0,1
6033,0,0,0,0,0,0,0,1
6034,0,0,0,0,0,0,0,1
6035,0,0,0,0,0,0,0,1
6036,75,0,0,0,0,0,0,1
6037,0,0,0,0,0,0,0,1
6038,0,0,0,0,0,0,0,1
6039,0,0,0,0,0,0,0,1
6040,0,0,0,0,0,0,0,1
6041,0,0,0,0,0,0,0,1
6042,60,0,0,0,0,0,0,1
6043,100,0,0,0,0,0,0,1
6044,100,0,0,0,0,0,0,1
6045,100,0,0,0,0,0,0,1
6046,71.4285714286,0,0,0,0,0,0,1
6047,0,0,0,0,0,0,0,1
6048,7.1428571429,0,0,0,0,0,0,1
6049,0,0,0,0,0,0,0,1
6050,50,0,0,0,0,0,0,1
6051,33.3333333333,0,0,0,0,0,0,1
6052,0,0,0,0,0,0,0,0
6053,50,0,0,0,0,0,0,0
6054,0,0,0,0,0,0,0,0
6055,0,0,0,0,0,0,0,0
6056,0,0,0,0,0,0,0,0
6057,50,0,0,0,0,0,0,0
6058,0,0,0,0,0,0,0,0
6059,0,0,0,0,0,0,0,0
6060,0,0,0,0,0,0,0,0
6061,25,0,0,0,0,0,0,0
6062,0,0,0,0,0,0,0,0
6063,0,0,0,0,0,0,0,0
6064,40,0,0,0,0,0,0,0
6065,0,0,0,0,0,0,0,0
6066,0,0,0,0,0,0,0,0
6067,0,0,0,0,0,0,0,0
6068,0,0,0,0,0,0,0,0
6069,0,0,0,0,0,0,0,0
6070,0,0,0,0,0,0,0,0
6071,0,0,0,0,0,0,0,0
6072,0,0,0,0,0,0,0,0
6073,0,0,0,0,0,0,0,0
6074,0,0,0,0,0,0,0,0
6075,53.8461538462,0,0,0,0,0,0,0
6076,0,0,0,0,0,0,0,0
6077,20,0,0,0,0,0,0,0
6078,0,0,0,0,0,0,0,0
6079,33.3333333333,0,0,0,0,0,0,0
6080,0,0,0,0,0,0,0,0
6081,0,0,0,0,0,0,0,0
6082,0,0,0,0,0,0,0,0
6083,0,0,0,0,0,0,0,1
6084,50,0,0,0,0,0,0,1
6085,18.1818181818,0,0,0,0,0,0,1
6086,25,0,0,0,0,0,0,1
6087,12.5,0,0,0,0,0,0,1
6088,27.2727272727,0,0,0,0,0,0,1
6089,0,0,0,0,0,0,0,1
6090,0,0,0,0,0,0,0,1
6091,0,0,0,0,0,0,0,1
6092,0,0,0,0,0,0,0,1
6093,0,0,0,0,0,0,0,1
6094,0,0,0,0,0,0,0,0
6095,0,0,0,0,0,0,0,0
6096,0,0,0,0,0,0,0,0
6097,0,0,0,0,0,0,0,0
6098,0,0,0,0,0,0,0,0
6099,0,0,0,0,0,0,0,0
6100,0,0,0,0,0,0,0,0
